Id,SalePrice
1461,282511.24032939813
1462,341637.5377423243
1463,186676.35807958464
1464,241979.74573722403
1465,337272.10767691623
1466,203414.58786380503
1467,351080.95793645835
1468,194847.904438953
1469,377055.25415363547
1470,176251.97960142576
1471,333351.9878439809
1472,167447.99052421367
1473,155112.39319987517
1474,250042.01221040604
1475,374249.45318546426
1476,411809.4891167347
1477,364581.08079385007
1478,476228.5767124721
1479,439852.1957722638
1480,706667.2083492285
1481,321560.9984320032
1482,354702.13534545974
1483,329024.64621625654
1484,255823.2096477611
1485,264525.2593559369
1486,268626.8727813329
1487,325461.9359207376
1488,364613.41754783894
1489,312229.28118938714
1490,333630.27451356774
1491,250464.44044204688
1492,218170.8171501629
1493,415932.07496102934
1494,327874.7651984432
1495,295150.4758671005
1496,370572.52405095263
1497,214042.6449506469
1498,180973.48439175947
1499,194827.27935056636
1500,158083.4917242288
1501,232658.1653722211
1502,201054.3229216299
1503,435992.0198446976
1504,314260.66312613257
1505,360706.9698693779
1506,268065.1402324342
1507,408346.4888073337
1508,215894.48883827621
1509,221282.1263350832
1510,210976.7811717246
1511,197372.52375045393
1512,295252.6698615077
1513,260772.11134085085
1514,254243.993754316
1515,246839.68825900805
1516,246867.23214215387
1517,267134.9252197952
1518,328976.0135458171
1519,323342.1136434394
1520,184311.0524405057
1521,194052.91414403418
1522,483293.71815147396
1523,171452.094393343
1524,285676.24580369645
1525,284142.98443027394
1526,275660.17423160624
1527,207184.59387941615
1528,239935.271998522
1529,309296.16443380417
1530,272681.0205512367
1531,179587.7435449069
1532,194385.9433639837
1533,299786.41156854597
1534,213089.66264366955
1535,269550.71493140596
1536,166754.29713959718
1537,140862.47262179945
1538,286743.20950467215
1539,411591.58045634936
1540,155149.52724722144
1541,335256.2782218971
1542,291493.28688219545
1543,261375.38798838126
1544,191464.6393808036
1545,174853.69322252792
1546,332341.9340024899
1547,213745.43848336145
1548,244107.7463565065
1549,142560.841723635
1550,181542.1964410065
1551,242566.3803794039
1552,284608.90942524973
1553,250634.80660977427
1554,245610.88438682945
1555,338795.3225906625
1556,159751.34425182221
1557,115610.14738738425
1558,252789.977096544
1559,116993.67411891455
1560,209819.62767364865
1561,172500.76792160398
1562,319649.43657880445
1563,322462.9345121958
1564,178704.80699429775
1565,342338.42343209946
1566,358241.40873291926
1567,178183.04349312876
1568,273299.07598810125
